node_id,latitude,longitude,waste_kg,service_time,time_window_start,time_window_end,is_depot,requires_small_vehicle
DEPOT,10.84,106.787,0.0,0.0,0,1440,True,False
P01,10.8441,106.7836,162.6,9.6,0,1440,False,True
P02,10.846362,106.782627,114.7,5.1,0,1440,False,True
P03,10.848545,106.783664,339.5,6.8,0,1440,False,False
P04,10.828857,106.793238,82.4,10.3,0,1440,False,False
P05,10.830361,106.789822,434.2,6.0,0,1440,False,False
P06,10.84552,106.783936,207.3,5.4,0,1440,False,False
P07,10.849219,106.782945,440.1,6.4,0,1440,False,False
P08,10.838318,106.788974,398.8,8.2,0,1440,False,False
P09,10.844183,106.783412,187.1,3.7,0,1440,False,True
P10,10.841466,106.786521,247.8,10.5,0,1440,False,False
P11,10.842481,106.784838,178.8,11.4,0,1440,False,False
P12,10.846437,106.783185,349.8,4.5,0,1440,False,False
P13,10.83008,106.792902,334.6,5.0,0,1440,False,True
P14,10.835371,106.791104,164.7,3.3,0,1440,False,True
P15,10.833605,106.788265,417.9,8.1,0,1440,False,True
P16,10.832851,106.789997,407.3,8.8,0,1440,False,False
P17,10.84206,106.784987,287.7,5.4,0,1440,False,False
P18,10.832591,106.790798,161.1,12.0,0,1440,False,False
P19,10.826864,106.790188,120.6,8.6,0,1440,False,True
P20,10.831386,106.790739,300.5,7.2,0,1440,False,False
P21,10.838884,106.789943,84.2,9.5,0,1440,False,True
P22,10.838074,106.787861,188.6,4.4,0,1440,False,False
P23,10.850115,106.784303,177.5,7.5,0,1440,False,True
P24,10.843031,106.784426,311.4,10.6,0,1440,False,False
P25,10.838611,106.78805,279.6,10.0,0,1440,False,True
